Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total
Διαχρονικό Μουσείο Λάρισας,Θεσσαλίας,Λάρισας,ChIJ_dAuoDKPWBMR1tqp6FbgYL0,https://www.google.com/maps/place/?q=place_id:ChIJ_dAuoDKPWBMR1tqp6FbgYL0,Diachronic Museum of Larissa,"Τρικάλων, Τ.Θ. 1126 Μεζούρλο, Λαρίσης, Larisa 415 00, Greece",4.8,873
Αρχαιολογικό Μουσείο Αγίου Νικολάου,Κρήτης,Λασιθίου,ChIJI16q6HmBkBQRRxycjCF3fT4,https://www.google.com/maps/place/?q=place_id:ChIJI16q6HmBkBQRRxycjCF3fT4,Archaeological Museum of Agios Nikolaos,"Kon/nou Paleologou 74, Ag. Nikolaos 721 00, Greece",4.4,548
Αρχαιολογική Συλλογή Ιεράπετρας,Κρήτης,Λασιθίου,ChIJ1_w592t5kBQRSl5b7qi44x4,https://www.google.com/maps/place/?q=place_id:ChIJ1_w592t5kBQRSl5b7qi44x4,Archaeological Collection Of Ierapetra,"Πλατεία Κανουπάκη Platia Ethnikis Antistaseos, Dimokratias ke, Ierapetra 722 00, Greece",4.3,371
Ναός Παναγίας Κεράς Κριτσά,Κρήτης,Λασιθίου,ChIJb3Bl7ox_mhQRrFipu49rETU,https://www.google.com/maps/place/?q=place_id:ChIJb3Bl7ox_mhQRrFipu49rETU,Panagia Kera (Assumption of Mary),"Kritsa 721 00, Greece",4.4,1191
Αρχαιολογικό Μουσείο Σητείας,Κρήτης,Λασιθίου,ChIJB4xUaI7tkBQRxWfYlDmUfa4,https://www.google.com/maps/place/?q=place_id:ChIJB4xUaI7tkBQRxWfYlDmUfa4,Archaeological Museum of Sitia,"Sitia 723 00, Greece",4.5,530
Αρχαιολογική Συλλογή Ερεσού,Βορείου Αιγαίου,Λέσβου,ChIJvzNw8hLEuhQR5w2Mu2wXGZI,https://www.google.com/maps/place/?q=place_id:ChIJvzNw8hLEuhQR5w2Mu2wXGZI,Archaeological Collection of Eressos,"Unnamed Road, Skala Eresou 811 05, Greece",4.3,15
Αρχαιολογική Συλλογή Νάπης,Βορείου Αιγαίου,Λέσβου,ChIJR2fndwSPuhQRlLEqknfCN2o,https://www.google.com/maps/place/?q=place_id:ChIJR2fndwSPuhQRlLEqknfCN2o,Archaeological Folklore Collection of Napi,"Νάπη 811 02, Greece",4.3,23
Αρχοντικό Βαρελτζίδαινας,Βορείου Αιγαίου,Λέσβου,ChIJi3VEjV-RuhQR8LVlCLaZNR4,https://www.google.com/maps/place/?q=place_id:ChIJi3VEjV-RuhQR8LVlCLaZNR4,Αρχοντικό Βαρελτζήδαινας,"Petra 811 09, Greece",4.2,29
Αρχαιολογικό Μουσείο Λήμνου,Βορείου Αιγαίου,Λέσβου,ChIJxRPMtzeFrxQRyyuCnpen3iI,https://www.google.com/maps/place/?q=place_id:ChIJxRPMtzeFrxQRyyuCnpen3iI,Archeological Museum of Lemnos,"Navarchou Kountourioti, Mirina 814 00, Greece",4.5,332
Τσαρσί Χαμάμ Μυτιλήνης,Βορείου Αιγαίου,Λέσβου,ChIJM0V9RwZnuhQRFAL7M3un680,https://www.google.com/maps/place/?q=place_id:ChIJM0V9RwZnuhQRFAL7M3un680,Τsarsi Hamam,"Lorentzou Mavili 2, Mitilini 811 00, Greece",4.5,132
